id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
9.90562E+17,https://twitter.com/redalertnow/status/990561975984934913,Sun Apr 29 12:02:33 +0000 2018,2018-04-29 12:02:33+00:00,redalertnow,@michelleisawolf How come nobody ever jokes about the brainwashed Communists in the media? I bet many would walk out of the dinner. #WHCD,original,,WHCD,,,0,michelleisawolf,,267856525,en,,,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",18416448,Sat Dec 27 22:53:08 +0000 2008,FALSE,"Retired NYPD, Ground Zero Emergency Responder, The Conservative Monster, correctly predicted #Trump victory. #MAGA",56058,11278,11254,161,,The Daily POTUS,86503,Eastern Time (US & Canada),http://thedailypotus.com,FALSE
9.90562E+17,https://twitter.com/DeplorableStorm/status/990561904031600640,Sun Apr 29 12:02:16 +0000 2018,2018-04-29 12:02:16+00:00,DeplorableStorm,"RT @ByeByeObama1: @michelleisawolf decided to attack a beloved Sarah Huckabee Sanders last night at the #WHCD 

Was the bit by #MichelleWol…",retweet,,WHCD,,,0,,,,en,,,73,9.90554E+17,ByeByeObama1,7.47056E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2926077784,Wed Dec 17 00:30:15 +0000 2014,FALSE,#MAGA #TrumpTrain #TheSwampIsDraining Libs will be blocked. 🇺🇸🇺🇸🇺🇸No DM's please 🇺🇸🇺🇸🇺🇸I do not read them.They get deleted immediately.,43287,1934,1809,3,United States Minor Outlying Islands,Stormy,16473,Pacific Time (US & Canada),https://gab.ai/StormyStarr56,FALSE
9.90562E+17,https://twitter.com/MHinkelman/status/990561505237241858,Sun Apr 29 12:00:41 +0000 2018,2018-04-29 12:00:41+00:00,MHinkelman,@michelleisawolf was on 🔥🔥 last night at the #WHCD.,original,,WHCD,,,0,michelleisawolf,,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",334328131,Tue Jul 12 22:44:57 +0000 2011,FALSE,Ex-journo @PhillyDailyNews @AtlBizChron. 1993 @loebawards winner. Writer @elliottdotorg. I also blog about #smallbiz and politics. @therecordcomp fanboy.,2537,978,597,73,Philly,Michael Hinkelman,15612,Atlantic Time (Canada),http://michaelhinkelman.com,TRUE
9.90561E+17,https://twitter.com/dcalabro/status/990561311456145410,Sun Apr 29 11:59:55 +0000 2018,2018-04-29 11:59:55+00:00,dcalabro,@michelleisawolf you were perfection last night. https://t.co/XGK25Jf54S #whcd2018 #whcd,original,,whcd2018 whcd,,https://youtu.be/AxISB26avpw,0,michelleisawolf,,267856525,en,,FALSE,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",24042585,Thu Mar 12 21:29:25 +0000 2009,FALSE,"I'm An Intelligent,Classy Woman Who Says Fuck A Lot",557,14,30,0,,Deborah Calabro,227,Eastern Time (US & Canada),,FALSE
9.90561E+17,https://twitter.com/BigJoeC1/status/990561159731404800,Sun Apr 29 11:59:18 +0000 2018,2018-04-29 11:59:18+00:00,BigJoeC1,"RT @ByeByeObama1: @michelleisawolf decided to attack a beloved Sarah Huckabee Sanders last night at the #WHCD 

Was the bit by #MichelleWol…",retweet,,WHCD,,,0,,,,en,,,73,9.90554E+17,ByeByeObama1,7.47056E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.27383E+17,Mon Nov 06 03:50:33 +0000 2017,TRUE,,8342,153,198,1,,BigJoeC,6237,,,FALSE
9.90561E+17,https://twitter.com/Andrewmorphlock/status/990561148771725315,Sun Apr 29 11:59:16 +0000 2018,2018-04-29 11:59:16+00:00,Andrewmorphlock,"@michelleisawolf is just absolutely amazing. Her #whcd speech was magical and took no prisoners, just brilliant https://t.co/4oqETvgOJu",original,,whcd,https://twitter.com/Andrewmorphlock/status/990561148771725315/photo/1,,0,michelleisawolf,,267856525,en,,FALSE,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1113476708,Wed Jan 23 04:51:33 +0000 2013,FALSE,Director & Editor. My second favourite part of horror movies is when they all have fun at the start. https://t.co/ZphzmLfmsW Views my own,17249,179,246,19,,AndrewMorphlock,5630,Casablanca,https://www.facebook.com/Andrew-Holohan-Video-and-Photography-621826531292664/,FALSE
9.90561E+17,https://twitter.com/amitpai87/status/990560927421534208,Sun Apr 29 11:58:23 +0000 2018,2018-04-29 11:58:23+00:00,amitpai87,@michelleisawolf new respect for you. More power to you. #WHCD,original,,WHCD,,,0,michelleisawolf,,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",48416822,Thu Jun 18 17:11:33 +0000 2009,FALSE,Constitutionalist. Tolerant. Lawyer. Re-tweets may be endorsements. Agree to disagree. Don't take yourself too seriously. Live and let live.,19354,1215,255,24,Bangalore/New Delhi,Amit A. Pai,30337,New Delhi,,FALSE
9.90561E+17,https://twitter.com/tdub909/status/990560543537881088,Sun Apr 29 11:56:51 +0000 2018,2018-04-29 11:56:51+00:00,tdub909,@michelleisawolf I've watched it three times now. I laugh out loud every time. You're a National Treasure! #WHCD,original,,WHCD,,,1,michelleisawolf,,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",49411926,Sun Jun 21 20:05:45 +0000 2009,FALSE,"Mom, Wife, Writer, Thinker, Doer. Regularly thinks in Hamilton lyrics. #Resisting Daily. 🌊 I signal boost Democrats across the country.",119885,2463,3872,9,"Omaha, Nebraska",Tina Mari 🌊,15942,,,FALSE
9.9056E+17,https://twitter.com/AngelicDeby/status/990560372552814592,Sun Apr 29 11:56:11 +0000 2018,2018-04-29 11:56:11+00:00,AngelicDeby,"RT @ByeByeObama1: @michelleisawolf decided to attack a beloved Sarah Huckabee Sanders last night at the #WHCD 

Was the bit by #MichelleWol…",retweet,,WHCD,,,0,,,,en,,,73,9.90554E+17,ByeByeObama1,7.47056E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",343062801,Wed Jul 27 00:46:10 +0000 2011,FALSE,"I love my country, & my world. Engaged, and proud of a Veteran! Add me to a list and you will be blocked! https://t.co/GmpORTB1Q1",54261,11037,11504,3,,Deby,44383,,,FALSE
9.9056E+17,https://twitter.com/stacytklein/status/990560162065903616,Sun Apr 29 11:55:21 +0000 2018,2018-04-29 11:55:21+00:00,stacytklein,@michelleisawolf Holy shitballs these tweets are ridiculous! @michelleisawolf you nailed it at the #WHCD and that’s why there is so much outrage. Uncomfortable truths amirite. We deal with it daily from this clusterfuck of an administration.,reply,,WHCD,,,0,michelleisawolf,9.90484E+17,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",23156178,Sat Mar 07 02:56:33 +0000 2009,FALSE,I’m a mama of 2 boys. DS & Autism are rough! grateful af for @phish and @pink not surprising that I ended up loving being a social worker.,108016,946,1027,17,"Philadelphia, PA",suzy greenberg,36744,,,FALSE
9.90559E+17,https://twitter.com/ThisBratIsBack/status/990559492352937985,Sun Apr 29 11:52:41 +0000 2018,2018-04-29 11:52:41+00:00,ThisBratIsBack,"RT @ThisBratIsBack: @michelleisawolf Nice try. Let’s ask Sarah what she thought?
Ur 5 min of fame ended before it began. Didn’t know u befo…",retweet,,,,,0,,,,en,,,7,9.90557E+17,ThisBratIsBack,9.83354E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9.83354E+17,Mon Apr 09 14:40:51 +0000 2018,FALSE,"#MAGA, Patriotic, All Trump-All the Time, FLOTUS, Vets, #DragonEnergy, RealityTV Junkie! “Not A Dating Site” Happily Married to my BFF!",1187,191,442,6,,Females For Trump👠,812,,,FALSE
